reservation_id,asset_id,requester_id,requested_at,reserved_from,reserved_until,status,source_system,conflict_event_id,conflict_detected,conflict_reason_code,conflict_severity,conflict_message,note
"r011","mic-002","s210","2026-06-02T00:00:00Z","2026-06-03T00:00:00Z","2026-06-03T08:00:00Z","OPEN","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r011 conflicts because asset mic-002 is currently checked out by another holder.","Active reservation."
"r012","mic-003","s211","2026-06-02T04:00:00Z","2026-06-03T04:00:00Z","2026-06-03T12:00:00Z","FULFILLED","reservation_system","","NO","","","","Reservation fulfilled by operational checkout."
"r013","mic-004","s212","2026-06-02T08:00:00Z","2026-06-03T08:00:00Z","2026-06-03T16:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r014","trip-001","s213","2026-06-02T12:00:00Z","2026-06-03T12:00:00Z","2026-06-03T20:00:00Z","CONFLICTED","reservation_system","e069","NO","","","","Reservation overlaps an operational checkout event."
"r015","trip-002","s214","2026-06-02T16:00:00Z","2026-06-03T16:00:00Z","2026-06-04T00:00:00Z","CONFLICTED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r015 conflicts because asset trip-002 is currently checked out by another holder.","Reservation expired before fulfillment."
"r016","trip-003","s215","2026-06-02T20:00:00Z","2026-06-03T20:00:00Z","2026-06-04T04:00:00Z","OPEN","reservation_system","","NO","","","","Active reservation."
"r017","trip-004","s216","2026-06-03T00:00:00Z","2026-06-04T00:00:00Z","2026-06-04T08:00:00Z","FULFILLED","reservation_system","","NO","","","","Reservation fulfilled by operational checkout."
"r018","tab-001","s217","2026-06-03T04:00:00Z","2026-06-04T04:00:00Z","2026-06-04T12:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r019","tab-002","s218","2026-06-03T08:00:00Z","2026-06-04T08:00:00Z","2026-06-04T16:00:00Z","CONFLICTED","reservation_system","e094","YES","RESERVATION_CONFLICT","ERROR","Reservation r019 conflicts with the current state of asset tab-002: MAINTENANCE.","Reservation overlaps an operational checkout event."
"r020","tab-003","s219","2026-06-03T12:00:00Z","2026-06-04T12:00:00Z","2026-06-04T20:00:00Z","CONFLICTED","reservation_system","","NO","","","","Reservation expired before fulfillment."
"r021","tab-004","s220","2026-06-03T16:00:00Z","2026-06-04T16:00:00Z","2026-06-05T00:00:00Z","OPEN","reservation_system","","NO","","","","Active reservation."
"r022","light-001","s221","2026-06-03T20:00:00Z","2026-06-04T20:00:00Z","2026-06-05T04:00:00Z","FULFILLED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r022 conflicts because asset light-001 is currently checked out by another holder.","Reservation fulfilled by operational checkout."
"r023","light-002","s222","2026-06-04T00:00:00Z","2026-06-05T00:00:00Z","2026-06-05T08:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r024","light-003","s223","2026-06-04T04:00:00Z","2026-06-05T04:00:00Z","2026-06-05T12:00:00Z","CONFLICTED","reservation_system","e119","NO","","","","Reservation overlaps an operational checkout event."
"r025","light-004","s224","2026-06-04T08:00:00Z","2026-06-05T08:00:00Z","2026-06-05T16:00:00Z","CONFLICTED","reservation_system","","YES","RESERVATION_CONFLICT","ERROR","Reservation r025 conflicts with the current state of asset light-004: RETIRED.","Reservation expired before fulfillment."
"r026","cam-001","s225","2026-06-04T12:00:00Z","2026-06-05T12:00:00Z","2026-06-05T20:00:00Z","OPEN","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r026 conflicts because asset cam-001 is currently checked out by another holder.","Active reservation."
"r027","cam-002","s226","2026-06-04T16:00:00Z","2026-06-05T16:00:00Z","2026-06-06T00:00:00Z","FULFILLED","reservation_system","","NO","","","","Reservation fulfilled by operational checkout."
"r028","cam-003","s227","2026-06-04T20:00:00Z","2026-06-05T20:00:00Z","2026-06-06T04:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r029","cam-004","s228","2026-06-05T00:00:00Z","2026-06-06T00:00:00Z","2026-06-06T08:00:00Z","CONFLICTED","reservation_system","e144","NO","","","","Reservation overlaps an operational checkout event."
"r030","lap-001","s229","2026-06-05T04:00:00Z","2026-06-06T04:00:00Z","2026-06-06T12:00:00Z","CONFLICTED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r030 conflicts because asset lap-001 is currently checked out by another holder.","Reservation expired before fulfillment."
