source_type,source_record_id,asset_id,conflicting_source,conflict_type,severity,reason_code,authority_classification,authority_action,message
"AUDIT","AO-002","cam-003","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T10:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-003","lap-001","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T12:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-004","lap-003","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T14:00:00Z: STATUS, LOCATION"
"AUDIT","AO-005","lap-005","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T16:00:00Z: CONDITION, LOCATION"
"AUDIT","AO-006","mic-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T18:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-007","mic-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T20:00:00Z: STATUS"
"AUDIT","AO-008","trip-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T22:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-009","trip-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T00:00:00Z: STATUS, LOCATION"
"AUDIT","AO-010","tab-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T02:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-011","tab-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T04:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-012","light-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T06:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-013","light-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T08:00:00Z: STATUS, CONDITION"
"AUDIT","AO-014","cam-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T10:00:00Z: CONDITION, LOCATION"
"AUDIT","AO-015","cam-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T12:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-016","lap-002","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T14:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-017","lap-004","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T16:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-018","mic-001","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T18:00:00Z: STATUS, CONDITION, LOCATION"
"AUDIT","AO-019","mic-003","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T20:00:00Z: CONDITION"
"AUDIT","AO-020","trip-001","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-04T22:00:00Z: STATUS, CONDITION, LOCATION"
"MANUAL_CORRECTION","MC-002","cam-004","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_UNAUTHORIZED","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Only authorized administrative actors may perform manual corrections."
"MANUAL_CORRECTION","MC-003","lap-003","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Manual correction is missing required evidence: evidence_ref"
"MANUAL_CORRECTION","MC-005","mic-004","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_UNAUTHORIZED","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Only authorized administrative actors may perform manual corrections."
"MANUAL_CORRECTION","MC-008","light-001","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_UNAUTHORIZED","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Only authorized administrative actors may perform manual corrections."
"MANUAL_CORRECTION","MC-010","cam-003","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Manual correction is missing required evidence: evidence_ref"
"MANUAL_CORRECTION","MC-011","lap-002","OPERATIONAL_STATE","MANUAL_CORRECTION_CONTROL_FAILURE","WARNING","MANUAL_CORRECTION_UNAUTHORIZED","REVIEW_TRIGGERING","Require authorized actor, reason, and evidence; reject or escalate when controls fail.","Only authorized administrative actors may perform manual corrections."
